age,sex,exp,medians,junction,surface,light,weather,collision,car_movement,acc_cause,severity
31-50,Male,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Driving at high speed,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,Unknown,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
18-30,Male,Unknown,Double carriageway (median),No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Getting off the vehicle improperly,2
18-30,Male,2-5yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Other,2
31-50,Male,Above 10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Other,2
31-50,Male,Above 10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,2
31-50,Male,Unknown,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No priority to vehicle,2
31-50,Male,Above 10yr,One way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,2
31-50,Male,Unknown,One way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
18-30,Male,5-10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,Above 10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,Driving carelessly,2
18-30,Male,Unknown,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Changing lane to the right,2
Unknown,Female,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,2
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Other,2
31-50,Male,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving to the left,2
31-50,Male,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Driving at high speed,1
18-30,Male,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,2
Unknown,Male,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
Unknown,Female,Unknown,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Male,Below 1yr,other,Y Shape,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Other,2
18-30,Male,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Reversing,No priority to vehicle,2
18-30,Male,Below 1yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Male,5-10yr,Unknown,Y Shape,Earth roads,Daylight,Normal,Collision with roadside objects,Turnover,No priority to pedestrian,2
18-30,Male,5-10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Overtaking,2
Over 51,Male,Unknown,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
Unknown,Female,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
Under 18,Male,5-10yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
Unknown,Female,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Driving carelessly,1
Unknown,Female,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Changing lane to the right,1
31-50,Male,Above 10yr,Double carriageway (median),Y Shape,Gravel roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Changing lane to the right,1
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the left,1
18-30,Male,No Licence,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Overturning,2
31-50,Male,Below 1yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown,Driving carelessly,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
Unknown,Female,5-10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
31-50,Male,5-10yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the right,2
31-50,Male,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Turnover,No distancing,2
Under 18,Male,5-10yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
31-50,Male,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - no lighting,Unknown,Collision with roadside objects,Getting off,Moving Backward,2
Unknown,Female,1-2yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,No distancing,2
Unknown,Male,Below 1yr,other,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,2
18-30,Male,1-2yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Overtaking,No distancing,2
31-50,Male,5-10yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,No priority to pedestrian,2
31-50,Male,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Driving carelessly,2
18-30,Male,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Changing lane to the right,1
Unknown,Male,2-5yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Changing lane to the left,2
18-30,Male,2-5yr,Undivided Two way,Y Shape,Gravel roads,Daylight,Unknown,Vehicle with vehicle collision,Reversing,Driving carelessly,2
Over 51,Male,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Turnover,Driving carelessly,2
Unknown,Male,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,No distancing,2
18-30,Male,Below 1yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,2
31-50,Male,2-5yr,other,Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,2-5yr,One way,Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,No distancing,2
18-30,Male,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overturning,2
18-30,Male,Above 10yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving at high speed,2
31-50,Male,Above 10yr,One way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
31-50,Male,Below 1yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
31-50,Male,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Getting off,No priority to vehicle,2
Unknown,Male,2-5yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,2
Unknown,Female,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,2
18-30,Male,Below 1yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
Over 51,Male,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Male,Above 10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Moving Backward,2
18-30,Male,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No priority to vehicle,2
31-50,Male,2-5yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
31-50,Male,2-5yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Male,1-2yr,Two-way (divided with solid lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,2
Over 51,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,2-5yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,1-2yr,other,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Driving carelessly,2
31-50,Male,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Turnover,No distancing,2
Unknown,Male,No Licence,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No priority to vehicle,2
18-30,Male,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Other,Changing lane to the right,2
18-30,Male,1-2yr,Undivided Two way,Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
31-50,Male,2-5yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
Unknown,Male,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Changing lane to the left,2
31-50,Male,Unknown,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Turnover,2
31-50,Male,Unknown,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving to the left,2
31-50,Male,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driving carelessly,2
Unknown,Male,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driving to the left,2
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driving carelessly,2
31-50,Male,Unknown,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,No priority to pedestrian,2
31-50,Male,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Driving carelessly,2
31-50,Male,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Unknown,Changing lane to the right,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Moving Backward,2
18-30,Male,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Driving carelessly,2
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the right,2
Over 51,Male,Unknown,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
31-50,Male,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
Unknown,Male,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Driving carelessly,2
18-30,Male,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the right,2
31-50,Male,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the right,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Driving carelessly,2
31-50,Male,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,2
18-30,Male,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,2
18-30,Male,Above 10yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Other,2
18-30,Male,Below 1yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Changing lane to the right,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Overtaking,2
